AIGroupID	AIBehID	AIBehaviorName	ParamString	CheckFSMLock	TickInv	SceneEvent
int32	int32	char	char	int32	int32	int32
0	4	AIDoLua	StartFunc:AITest_OnStart,TickFunc:AITest_OnTick,FinishFunc:AITest_OnEnd	1	3000	0
1	0	AIPlayerTeamFollow	-1	1	1000	0
1	1	AIPlayerChase	-1	1	1000	0
1	2	AIPlayerDoSkill	-1	1	1000	0
2	0	AIDoPatrol	HomePatrol:0,Range:3,fSpeed:5,waitTime:1000	1	300	0
2	1	AIDoChase	0	1	300	0
2	2	AIDoSkillByID	SkillID:15244,SkillTime:2000	1	100	0
2	3	AICircuity	0	1	300	0
2	4	AIFollow	0	1	300	0
2	5	AIDoSkillByID	SkillID:15231,SkillTime:2000	1	300	0
16	0	AIDoPatrol	Range:10,fSpeed:5	1	1000	0
16	1	AIGoHome	BuffID:10,fSpeed:5	1	1000	0
16	2	AIDoChase	0	1	1000	0
16	3	AIDoSkillByID	0	1	100	0
16	4	AICircuity	0	1	1000	0
17	0	AIDoSkillByID	SkillID:30005,SkillTime:2000	1	300	0
17	1	AIDoSkillByID	SkillID:5009,SkillTime:2000	0	300	0
17	2	AIDoSkillByID	SkillID:5013,SkillTime:0	1	300	0
17	3	AIDoSkillByID	SkillID:30001,SkillTime:2000	1	300	0
17	4	AIDoSkillByID	SkillID:30002,SkillTime:2000	1	300	0
17	5	AIDoChase	0	1	300	0
17	6	AICircuity	0	1	300	0
17	7	AIDoPatrol	Range:10,fSpeed:1	1	300	0
17	8	AIGoHome	BuffID:10,fSpeed:5	1	300	0
18	0	AIDoLua	StartFunc:AI_18_OnStart,TickFunc:AI_18_OnTick	1	300	0
19	0	AIDoSkillByIDByID	SkillID:5106,SkillTime:0	1	300	0
19	1	AIDoSkillByID	SkillID:5107,SkillTime:0	1	300	0
19	2	AIDoSkillByID	SkillID:5108,SkillTime:0	1	300	0
19	3	AIDoSkillByID	SkillID:30003,SkillTime:2000	1	300	0
19	4	AIDoSkillByID	SkillID:30003,SkillTime:2000	1	300	0
19	5	AIDoChase	0	1	300	0
19	6	AICircuity	0	1	300	0
19	7	AICircuity	0	1	300	0
19	8	AIDoPatrol	Range:10,fSpeed:1	1	300	0
19	9	AIGoHome	BuffID:10,fSpeed:5	1	300	0
20	0	AIDoSkillByID	SkillID:5209,SkillTime:0	1	300	0
20	1	AIDoSkillByID	SkillID:5208,SkillTime:3000	1	300	0
20	2	AIDoSkillByID	SkillID:5207,SkillTime:0	1	300	0
20	3	AIDoSkillByID	SkillID:5204,SkillTime:2000	1	300	0
20	4	AIDoSkillByID	SkillID:30004,SkillTime:2000	1	300	0
20	5	AIDoChase	0	1	300	0
20	6	AICircuity	0	1	300	0
20	7	AIDoPatrol	Range:10,fSpeed:1	1	300	0
20	8	AIGoHome	BuffID:10,fSpeed:5	1	300	0
21	0	AIDoSkillByID	SkillID:30002,SkillTime:2000	1	300	0
22	0	AIDoSkillByID	SkillID:-1,SkillTime:2000	1	300	0
23	0	AIDoSkillByID	SkillID:5002,SkillTime:700	1	300	0
23	1	AIDoSkillByID	SkillID:5003,SkillTime:800	1	300	0
23	2	AIDoSkillByID	SkillID:5004,SkillTime:1000	1	300	0
23	3	AIDoSkillByID	SkillID:5006,SkillTime:1600	1	300	0
23	4	AIDoSkillByID	SkillID:5008,SkillTime:1000	1	300	0
