cardID	CardName	temporary	BaseAttr	PieceID	PieceNum	Rarity	CounterType	Career	rootSkillID2Attr	rootSkillID3Attr	rootSkillID4Attr	templateid	energyid1	energyid2	energyid3	movespeed	smovespeed	rolldis	rolltime	speedrunspeed	speedruntime	type	IsCore	CoreSkillId	skilllist	showskill	cardstar	isprotagonist
int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	int32	f32	f32	f32	f32	f32	f32	int32	int32	int32	char	int32	int32	int32
1	700001	0	3001	2000001	10	1	0	0	1	2	3	1280004	99	0	101	5	3	5	0.4	4	1	19	0	0	-1	-1	1	1
1	700001	0	3001	2000001	10	1	-1	0	4	5	6	0	99	0	101	5	3	5	0.4	4	1	19	0	0	-1	-1	2	1
1	700001	0	3001	2000001	20	2	-1	0	1	2	3	0	99	0	101	5	3	5	0.4	4	1	19	0	0	-1	-1	3	1
1	700001	0	3001	2000001	20	2	-1	0	4	5	6	0	99	0	101	5	3	5	0.4	4	1	19	0	0	-1	-1	4	1
1	700001	0	3001	2000001	30	3	-1	0	1	2	3	0	99	0	101	5	3	5	0.4	4	1	19	0	0	-1	-1	5	1
1	700001	0	3001	2000001	30	3	-1	0	4	5	6	0	99	0	101	5	3	5	0.4	4	1	19	0	0	-1	-1	6	1
7	700007	0	3007	2000007	10	1	0	1	1	2	3	0	99	0	101	5	3	5	0.4	4	1	-1	-1	-1	-1	-1	1	1
7	700007	0	3007	2000007	10	1	-1	3	4	5	6	0	99	0	101	5	3	5	0.4	4	1	-1	-1	-1	-1	-1	2	1
7	700007	0	3007	2000007	20	2	-1	3	1	2	3	0	99	0	101	5	3	5	0.4	4	1	-1	-1	-1	-1	-1	3	1
7	700007	0	3007	2000007	20	2	-1	3	4	5	6	0	99	0	101	5	3	5	0.4	4	1	-1	-1	-1	-1	-1	4	1
7	700007	0	3007	2000007	30	3	-1	3	1	2	3	0	99	0	101	5	3	5	0.4	4	1	-1	-1	-1	-1	-1	5	1
7	700007	0	3007	2000007	30	3	-1	3	4	5	6	0	99	0	101	5	3	5	0.4	4	1	-1	-1	-1	-1	-1	6	1
16	700016	0	3007	2000016	30	3	0	0	4	5	6	0	99	0	1601	5	3	5	0.4	4	1	-1	-1	-1	-1	-1	1	0
17	700017	0	3050	2000017	10	1	-1	0	4	5	6	1280001	0	0	0	5	3	5	0.4	4	1	-1	-1	-1	-1	-1	1	0
19	700019	0	3042	2000019	30	3	0	2	4	5	6	1280003	99	0	0	5	3	5	0.4	4	1	-1	-1	-1	-1	-1	1	0
20	700020	0	3007	2000020	30	3	0	0	4	5	6	0	99	0	0	5	3	5	0.4	4	1	-1	-1	-1	-1	-1	1	0
21	700021	0	3057	2000021	30	3	2	0	1	2	3	1280003	0	0	0	5	3	5	0.4	4	1	-1	-1	-1	-1	-1	1	0
22	700022	0	3007	2000022	30	3	-1	1	4	5	6	0	0	0	0	5	3	5	0.4	4	1	-1	-1	-1	-1	-1	1	0
23	700023	0	3007	2000023	30	3	0	1	1	2	3	0	99	0	0	5	3	5	0.4	4	1	2	2	2	-1	-1	1	0
26	700026	0	3007	2000026	30	3	-1	3	4	5	6	0	0	0	0	5	3	5	0.4	4	1	-1	-1	-1	-1	-1	1	0
30	700030	0	3007	2000030	30	3	0	3	4	5	6	0	99	0	0	5	3	5	0.4	4	1	-1	-1	-1	-1	-1	1	0
31	700031	0	3007	2000031	30	3	-1	0	1	2	3	0	0	0	0	5	3	5	0.4	4	1	-1	-1	-1	-1	-1	1	0
32	700032	0	3007	2000032	30	3	-1	2	4	5	6	0	0	0	0	5	3	5	0.4	4	1	-1	-1	-1	-1	-1	1	0
33	700033	0	3007	2000033	30	3	0	3	1	2	3	0	99	0	0	5	3	5	0.4	4	1	-1	-1	-1	-1	-1	1	0
34	700034	0	3001	2000034	20	2	0	3	1	2	3	0	99	0	0	5	3	5	0.4	4	1	-1	-1	-1	-1	-1	1	0
35	700035	0	3035	2000035	20	2	0	2	1	2	3	0	99	0	3501	5	3	5	0.4	4	1	-1	-1	-1	-1	-1	1	0
36	700036	0	3007	2000036	20	2	0	2	4	5	6	0	99	0	3601	5	3	5	0.4	4	1	-1	-1	-1	-1	-1	1	0
37	700037	0	3037	2000037	20	2	0	1	1	2	3	1280005	99	0	3701	5	3	5	0.4	4	1	17	0	0	-1	-1	1	0
38	700038	0	3007	2000038	20	2	-1	3	4	5	6	0	0	0	0	5	3	5	0.4	4	1	-1	-1	-1	-1	-1	1	0
40	700040	0	3007	2000040	20	2	-1	1	4	5	6	0	0	0	0	5	3	5	0.4	4	1	-1	-1	-1	-1	-1	1	0
41	700041	0	3007	2000041	20	2	-1	2	1	2	3	0	0	0	0	5	3	5	0.4	4	1	-1	-1	-1	-1	-1	1	0
42	700042	0	3042	2000042	20	2	0	0	4	5	6	1280003	0	0	0	5	3	5	0.4	4	1	-1	-1	-1	-1	-1	1	0
49	700049	0	3007	2000049	20	2	-1	1	1	2	3	0	0	0	0	5	3	5	0.4	4	1	-1	-1	-1	-1	-1	1	0
50	700050	0	3050	2000050	30	3	0	3	4	5	6	1280001	99	0	0	5	3	5	0.4	4	1	1	1	1	-1	-1	1	0
51	700051	0	3051	2000051	10	1	0	3	4	5	6	0	0	0	0	5	3	5	0.4	4	1	-1	-1	-1	-1	-1	1	0
52	700052	0	3052	2000052	10	1	0	1	4	5	6	1280052	99	0	101	5	3	5	0.4	4	1	2	0	0	-1	-1	1	0
53	700053	0	3053	2000053	10	1	0	2	1	2	3	1280053	99	0	101	5	3	5	0.4	4	1	2	0	0	-1	-1	1	0
54	700054	0	3054	2000054	10	1	0	0	4	5	6	1280054	99	0	0	5	3	5	0.4	4	1	1	0	0	-1	-1	1	0
55	700055	0	3055	2000055	10	1	0	3	1	2	3	1280055	99	0	0	5	3	5	0.4	4	1	1	0	0	-1	-1	1	0
56	700056	0	3007	2000056	10	1	-1	-1	4	5	6	0	0	0	0	5	3	5	0.4	4	1	-1	-1	-1	-1	-1	1	0
57	700057	0	3057	2000057	30	3	2	0	1	2	3	1280003	99	0	0	5	3	5	0.4	4	1	1	0	0	-1	-1	1	0
61	700061	0	3007	2000061	10	1	-1	3	1	2	3	0	0	0	0	5	3	5	0.4	4	1	-1	-1	-1	-1	-1	1	0
62	700062	0	3007	2000062	10	1	-1	0	4	5	6	0	0	0	0	5	3	5	0.4	4	1	-1	-1	-1	-1	-1	1	0
63	700063	0	3007	2000063	10	1	-1	1	1	2	3	0	0	0	0	5	3	5	0.4	4	1	-1	-1	-1	-1	-1	1	0
64	700064	0	3064	2000064	10	1	0	2	4	5	6	0	0	0	0	5	3	5	0.4	4	1	-1	-1	-1	-1	-1	1	0
66	700066	0	3066	2000066	30	3	0	1	4	5	6	1280002	99	0	101	5	3	5	0.4	4	1	17	16	5	-1	-1	1	0
303	700303	1	3007	-1	-1	1	1	1	4	5	6	0	0	0	0	5	8	6	0.4	15	0.4	-1	-1	-1	-1	-1	-1	-1
304	700304	1	-1	-1	-1	1	1	1	1	2	3	0	0	0	0	6	1.5	3	0.5	3	1	-1	-1	-1	-1	-1	-1	-1
305	700305	1	-1	-1	-1	1	1	1	1	2	3	0	0	0	0	6	1.5	3	0.5	3	1	-1	-1	-1	-1	-1	-1	-1
702	700702	1	-1	-1	-1	1	1	1	-1	-1	-1	0	0	0	0	6	1.5	3	0.5	3	1	-1	-1	-1	-1	-1	-1	-1
703	700703	1	-1	-1	-1	1	1	1	-1	-1	-1	0	0	0	0	5	1.5	3	0.5	3	1	-1	-1	-1	-1	-1	1	1
800	700080	1	-1	-1	-1	1	1	1	-1	-1	-1	0	0	0	0	5	1.5	3	0.5	3	1	-1	-1	-1	-1	-1	-1	-1
802	700081	1	-1	-1	-1	1	1	1	-1	-1	-1	0	0	0	0	5	1.5	3	0.5	3	1	-1	-1	-1	-1	-1	-1	-1
10001	700066	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10002	700066	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10003	700066	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10004	700066	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
